Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.11728554327239,7.33945907077904,5.18897394767796,9.11100002127562,5.6776000056402,5.55592484290456,5.99166922704867,5.7689710655619,6.61038441129829,6.55371309699865,7.44975914768755,8.13797343242644,8.844075564518,9.50158099803278,13.8837280806904,11.5055803106496,9.43261782257726,7.91774763658594,7.86439435789246,9.17556778799975,11.3058307064925,9.79944909521963,8.27447902353463,9.00834119424021,7.92438729311929,7.09531456076386,6.35457655453407,6.19266264606477,5.69253804870036,5.46126798028507,6.9617655463444,7.91394353581263,8.38509433055603,9.09604605458896,9.66785406991572,9.45558496072482,8.90538179274132,9.59255968601575,9.40808459248784,11.4172682172491,12.4517133524146,14.564574352134,13.3877671308534,12.9596010144732,13.1324909668183,11.8429659423762,11.6673835813384,11.9649362669047,13.7235689068504,11.2546044679462,11.9065933373084,12.3518953217282,13.2367345412855,14.0437454364237,13.6734629958056,14.0534511983164,12.0670189851289,11.8046383594658,14.5080826628793,14.6542047944056
Brazil,BRA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,-3.48843308833531,-1.20431186245116,-2.43879567951019,-12.5004082704348,-14.2862484150039,31.6662865082342,7.59503374227657,23.5286957910652,11.4287821311437,23.9316559690622,24.497057833621,20.027020632087,20.4017139979047,28.4885883112389,-4.52475559331985,-1.24281096525999,-7.57285014446836,4.58173027427561,8.20777659263432,0.676731515730793,-12.3571235764734,-6.03095227109218,-17.4327947754363,-2.94122560325751,0,28.6797595454191,-2.9438102632048,-1.12645376595157,8.9395472511067,10.0663740627273,18.6777528417929,4.52331893103801,26.7837410987456,20.3434547687513,30.6868674128978,5.58586337669959,14.5950768781524,-0.0566612366407782,-15.0941454775671,10.7985867038515,3.33140284745186,-13.3072689977883,-0.48349719563609,10.3640452492909,7.46134604095892,17.7625845486006,19.55759871759,17.0257102791374,-7.60196748937173,33.6390246494407,9.39340148096277,1.13084445946079,6.66991265117625,-2.27239720905091,-14.1907850293058,-10.3424174614504,6.71669893318443,8.34430030113367,1.10519476327453
Brazil,BRA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14546000000,14950000000,14816000000,16705000000,21760000000,27826000000,27229000000,24792000000,19560000000,17612000000,16958000000,18433000000,19368000000,19907000000,24180000000,28184000000,28251000000,27984000000,34856000000,43495000000,63293000000,66018000000,75139000000,74415000000,62807000000,71576500702.0768,71626048627.3636,60778949499.4464,62707203451.3367,78995242018.1936,96610925191.4596,119498967176.935,157790361251.241,220247095195.331,174697463800,243660936841.03,302029366543.06,303848045030.47,325571419168.28,318799145127.77,243145561020.6,203426770539.7,226514898036.35,257663477835.22,254149123847.62
Brazil,BRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1079376914.93865,1118302726.08473,1033970196.04432,2097486800.99115,1204326396.14961,1210637974.35359,1621508461.2021,1764834054.99797,2239326014.7452,2454948720.19931,3153304260.31533,4004245613.85253,5177234171.78625,7532763884.77189,14596797400.1872,14233481672.8226,14401534168.3917,13948797699.9376,15791774010.8349,20642227950.3886,26571483279.6605,25827534749.1203,23307743170.8143,18314364418.7078,16563864377.3291,15818492271.929,17038985216.6532,18211636976.1514,18807996682.1739,23242900390.625,32160000000,47710000000,33590625000,39822360248.4472,53957453464.727,72742324397.9514,75733720724.306,84721451205.9369,81259829211.5467,68433801840.5246,81611100027.3299,81470191055.1824,68004834965.369,72356034124.1469,87897949128.2051,105595458223.792,129232641290.856,167160252067.177,232727652852.001,187616483044.913,263001364256.48,323150406504.065,326310480774.154,347274708965.261,335819379515.512,253273317502.78,216687480308.195,243509744939.525,273547364661.448,269601911015.338
Brazil,BRA,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2504000000,2603000000,2793000000,3074000000,3799000000,4871000000,5138000000,5397000000,4131000000,3696000000,3790000000,4389000000,4316000000,5302000000,5917000000,7523000000,7210000000,7430000000,9555000000,10254000000,13630000000,12717000000,15301000000,16704000000,13798000000,16265448702.0768,16645245627.3637,14075397499.4464,14897717451.3368,16647139025.57,23471147333.4596,28149406188.9351,37172915001.2415,47140404693.3313,46974141400,60827829399.94,74148583665.49,78984426905.79,84382714980.34,88072140088.13,70723366749.08,63747069972.48,72405643776.77,71173701744.61,69110223405.55
Brazil,BRA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12042000000,12347000000,12023000000,13631000000,17961000000,22955000000,22091000000,19395000000,15429000000,13916000000,13168000000,14044000000,15052000000,14605000000,18263000000,20661000000,21041000000,20554000000,25301000000,33241000000,49663000000,53301000000,59838000000,57711000000,49009000000,55311052000,54980803000,46703552000,47809486000,62348102992.6237,73139777858,91349560988,120617446250,173106690502,127723322400,182833107441.09,227880782877.57,224863618124.68,241188704187.94,230727005039.64,172422194271.52,139679700567.22,154109254259.58,186489776090.61,185038900442.07
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.05904647646368,7.27940794590105,3.86876017137378,9.03645424482606,6.38540927082227,7.73576138413985,6.82473507896306,5.7689710655619,6.00052600864501,6.6204037968306,7.02943634908589,6.41330674313925,7.259175691336,8.27167782462644,8.01311941176138,7.53857281945099,7.03571355665957,7.25236847121218,6.67557886823388,7.12390494963595,9.05272982472942,9.42035430772259,7.60968270162801,11.4218215925107,13.547584918489,12.2479596662611,8.81658867805845,9.4599432176942,10.8882167136928,8.92960968014427,8.19999001540815,8.67697309491424,10.8682492540862,10.5032702366843,9.66505138718782,7.52887503847073,6.73020968312685,6.98364957530895,7.03050033871807,9.5648982609794,10.1880480043795,12.37171066993,14.2305902713775,15.1807837086861,16.5457615119353,15.2438292665623,14.3743163008972,13.327675103099,13.5340005119683,10.8513711314233,10.8655847746965,11.5825153248769,11.8775598368351,11.7422306432624,11.0119428207843,12.9001914177405,12.4666790443888,12.5230753666957,14.8896998937494,14.3224188515098
Brazil,BRA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,5.19408591869809,-7.40697094349359,27.9999537191722,-13.5418615762703,3.61684823505183,11.6278405073585,-3.12525758857456,16.1294540855561,19.4444019882985,6.20138116360849,5.50997854279788,24.1631690075453,14.2547720490322,2.33378584565473,11.5724228410492,-0.320630555299374,-0.354325244386601,13.2517454645674,9.29982291777516,22.6142541785447,21.3202534298358,-9.19107943894623,14.3320590797795,21.9546118885069,7.02670593572654,-10.580553429957,19.2353035723203,13.07895439701,5.08551534505328,-4.92185434886861,10.6327441290596,16.5473190861741,11.6803320940072,4.00828113415726,-2.03287997888849,-0.421250558667836,11.019288736693,4.90820527308593,5.70628959122543,12.860549374637,9.23052690478082,6.47682195033849,11.0159393908978,14.4737797219511,9.6441897415736,4.83742790508219,6.176101667392,0.409250958073997,-9.24706647169667,11.7217215440282,4.81098128937521,0.708513473564238,1.82931533165575,-1.56845186711504,6.81884981533692,0.863458277704709,4.90890639813,3.99943790572814,-2.53654288549961
Brazil,BRA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9552000000,10979000000,13130000000,13823000000,16719000000,21869000000,25541000000,21982000000,23622000000,28949000000,27720000000,24164000000,28162000000,36052000000,37507000000,35170000000,34938000000,39881000000,43595000000,49010000000,52641000000,52506000000,59178000000,58767000000,54563000000,63716723040.9693,66517202823.9496,68943055575.7244,82570023303.5733,107984756804.627,133005199276.194,156303207937.529,184603323407.868,228392969446.029,180723090100,231995637790.95,292487960972.715,281099514398.14,279587813724.59,264063098515.125,223884769813.385,217614808716.85,252547100285.24,274976544272.16,259792130706.455
Brazil,BRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1070544628.54537,1109152823.34559,770900519.674771,2080325261.99351,1354466134.88626,1685625122.1861,1846958711.61305,1764834054.99797,2032731102.64928,2479930321.58748,2975391707.00149,3155632739.4951,4249449495.7691,6557708237.89377,8424673828.03794,9325921437.05926,10741988183.0392,12776590678.7557,13404621904.9098,16026612550.3001,21276141967.6084,24828388398.9376,21435129573.2899,23221079048.8769,28317692072.5525,27305943051.3526,23640556197.1808,27820190044.6057,35974382968.3631,38004000000,37880000000,52310000000,43538125000,45983167701.8634,53941811356.1708,57920041189.9313,57235482141.0805,61679566883.1169,60724077380.4395,57330907863.5587,66774569991.801,69203919564.6629,72286060356.887,84757339584.0104,110743537333.333,135918581909.3,159215718705.466,186198863078.424,229512905442.251,180894503551.065,240006821282.401,303021879483.501,292804259894.527,290362691897.407,270452613684.658,232489103970.663,223864176667.717,258329886570.157,280742690897.148,263497852452.782
